name,state_id
Anantapur,1
Chittoor,1
East,1
Godavari,1
Guntur,1
Krishna,1
Kurnool,1
Prakasam,1
Sri Potti Sriramulu Nellore,1
Srikakulam,1
Visakhapatnam,1
Vizianagaram,1
West Godavari,1
Y S R,
,
Anjaw,2
Changlang,2
Dibang Valley,2
East Kameng,2
East Siang,2
Kurung Kumey,2
Lohit,2
Lower Dibang Valley,2
Lower Subansiri,2
Papum Pare,2
Tawang,2
Tirap,2
Upper Siang,2
Upper Subansiri,2
West Kameng,2
West Siang,2
,
Baksa,3
Barpeta,3
Bongaigaon,3
Cachar,3
Chirang,3
Darrang,3
Dhemaji,3
Dhubri,3
Dibrugarh,3
Dima,3
Hasao,3
Goalpara,3
Golaghat,3
Hailakandi,3
Jorhat,3
Kamrup,3
Kamrup Metropolitan,3
Karbi,3
Anglong,3
Karimganj,3
Kokrajhar,3
Lakhimpur,3
Morigaon,3
Nagaon,3
Nalbari,3
Sivasagar,3
Sonitpur,3
Tinsukia,3
Udalguri,
,
,
Araria,4
Arwal,4
Aurangabad,4
Banka,4
Begusarai,4
Bhagalpur,4
Bhojpur,4
Buxar,4
Darbhanga,4
Gaya,4
Gopalganj,4
Jamui,4
Jehanabad,4
Kaimur,4
Katihar,4
Khagaria,4
Kishanganj,4
Lakhisarai,4
Madhepura,4
Madhubani,4
Munger,4
Muzaffarpur,4
Nalanda,4
Nawada,4
Pashchim Champaran,4
Patna ,4
Purba Champaran,4
Purnia,4
Rohtas,4
Saharsa,4
Samastipur,4
Saran,4
Sheikhpura,4
Sheohar,4
Sitamarhi,4
Siwan,4
Supaul,4
Vaishali,4
,
,
,
Bastar,5
Bijapur,5
Bilaspur,5
Dakshin Bastar Dantewada,5
Dhamtari,5
Durg,5
Janjgir Champa,5
Jashpur,5
Kabeerdham,5
Korba,5
Koriya,5
Mahasamund,5
Narayanpur,5
Raigarh,5
Raipur,5
Rajnandgaon,5
Surguja,5
Uttar Bastar Kanker,5
,
,
North Goa,6
South Goa,6
,
Ahmadabad,7
Amreli,7
Anand,7
Banas Kantha,7
Bharuch,7
Bhavnagar,7
Dohad,7
Gandhinagar,7
Jamnagar,7
Junagadh,7
Kachchh,7
Kheda,7
Mahesana,7
Narmada,7
Navsari,7
Panch Mahals,7
Patan,7
Porbandar,7
Rajkot,7
Sabar Kantha,7
Surat,7
Surendranagar,7
Tapi,7
The Dangs,7
Vadodara,7
Valsad,7
,
,
Ambala,8
Bhiwani,8
Faridabad,8
Fatehabad,8
Gurgaon,8
Hisar,8
Jhajjar,8
Jind,8
Kaithal,8
Karnal,8
Kurukshetra,8
Mahendragarh,8
Mewat,8
Palwal,8
Panchkula,8
Panipat,8
Rewari,8
Rohtak,8
Sirsa,8
Sonipat,8
Yamunanagar,8
,
,
Bilaspur,9
Chamba,9
Hamirpur,9
Kangra,9
Kinnaur,9
Kullu,9
Lahul & Spiti,9
Mandi,9
Shimla,9
Sirmaur,9
Solan,9
Una,9
,
,
Anantnag,10
